iter	Logloss
0	0.468864149
1	0.3396473714
2	0.2570009933
3	0.2010728958
4	0.162649484
5	0.1358919326
6	0.1167694221
7	0.1029986741
8	0.09313159702
9	0.08577435097
10	0.08036743431
11	0.07664406232
12	0.07400199125
13	0.07213324322
14	0.07134908075
15	0.06999100263
16	0.06898327991
17	0.06857634614
18	0.0681403392
19	0.06783375575
20	0.06763254253
21	0.06733752397
22	0.06710897321
23	0.06680132506
24	0.06672274254
25	0.06667543562
26	0.0665430981
27	0.06642074934
28	0.06630606965
29	0.06616086772
30	0.06616010377
31	0.06615712097
32	0.06595562573
33	0.06586976425
34	0.0658594925
35	0.06578064255
36	0.06568222689
37	0.06565690282
38	0.06558488907
39	0.06554034603
40	0.06552938336
41	0.06552628346
42	0.06544957534
43	0.06544296873
44	0.06541973353
45	0.06536322399
46	0.06528708861
47	0.06527125496
48	0.06525993161
49	0.06524747086
50	0.06521508856
51	0.06520560389
52	0.06519642847
53	0.065171117
54	0.06511068083
55	0.06509930455
56	0.06508954316
57	0.0650672844
58	0.06505005279
59	0.06504079743
60	0.06502062801
61	0.06497748189
62	0.06496410115
63	0.06489013579
64	0.06486246655
65	0.06485281274
66	0.06482397351
67	0.06477989681
68	0.0646739502
69	0.06461502779
70	0.06459030203
71	0.0645393726
72	0.0645120714
73	0.06450738733
74	0.06449715249
75	0.06442573129
76	0.06441056374
77	0.06440713411
78	0.06438581896
79	0.06438224934
80	0.06435576802
81	0.06429306014
82	0.06414669545
83	0.06414411233
84	0.06412373262
85	0.06404974738
86	0.06403204767
87	0.064029182
88	0.06402652768
89	0.06402405138
90	0.0640066016
91	0.06398966039
92	0.06394439399
93	0.06391224621
94	0.06382379001
95	0.06379274639
96	0.06378249432
97	0.06376959862
98	0.0636773219
99	0.06365893735
100	0.06362285354
101	0.0635451648
102	0.06354014195
103	0.06353796196
104	0.06352390901
105	0.06351215109
106	0.06350338909
107	0.06345922394
108	0.06344766827
109	0.06343983462
110	0.0634251969
111	0.06342002391
112	0.06337667279
113	0.06337419682
114	0.0633359772
115	0.06329824806
116	0.06326098035
117	0.06320119793
118	0.06311665973
119	0.06292069237
120	0.0629008726
121	0.06283308672
122	0.0628067714
123	0.06276713614
124	0.06270371234
125	0.06267476084
126	0.06261549626
127	0.06260049901
128	0.06257063443
129	0.06252082905
130	0.0623186236
131	0.06226007293
132	0.06223287348
133	0.06217899998
134	0.06217224981
135	0.0621706203
136	0.0621616363
137	0.06215319501
138	0.06214666907
139	0.06213793108
140	0.06200254665
141	0.06198297074
142	0.06195071675
143	0.06194225681
144	0.06193102069
145	0.06186918551
146	0.06185665745
147	0.06183942713
148	0.06183223005
149	0.06180443751
